"","id","modified","basisOfRecord","occurrenceID","individualCount","sex","lifeStage","eventID","taxonID","scientificName","kingdom","phylum","class","order","genus","specificEpithet"
"1418",NA,NA,NA,"6579b03d-98d5-40db-8cbc-dc80df383315",1,"Adult","Male","dccb40c0-ae62-4878-a689-f964f0c2edb7",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1419",NA,NA,NA,"40f3f28c-74b0-42d2-a3f6-0e41feb5a396",1,"Adult","Female","dccb40c0-ae62-4878-a689-f964f0c2edb7",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1420",NA,NA,NA,"419dd097-4a7a-46c7-b4bb-d08b2f3eab89",1,"Adult","unknown","dccb40c0-ae62-4878-a689-f964f0c2edb7",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1421",NA,NA,NA,"5d587984-24de-47fa-af8c-028d37d4ccee",6,"Juvenile","unknown","dccb40c0-ae62-4878-a689-f964f0c2edb7",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1422",NA,NA,NA,"7e2bf329-784b-4476-ba05-ccfe0e84a866",1,"Adult","unknown","b33bcaa4-318d-491b-9b4c-00f1f8b48f0c",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1423",NA,NA,NA,"c7cbc3a4-1f51-499c-9ed8-a9d6493577c8",1,"Adult","Male","700641d2-174e-45c7-b739-9f3baebf757f",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1424",NA,NA,NA,"5b239f45-6fd5-48b7-a9ee-9efb52c64fb4",1,"Adult","Male","fe103e61-564f-42ee-8754-ed45bf447c63",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1425",NA,NA,NA,"551bc178-e478-4a0a-8f41-be186e803ce5",1,"Adult","Female","fe103e61-564f-42ee-8754-ed45bf447c63",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1426",NA,NA,NA,"59962781-7048-48e9-a673-cf75909a0431",10,"Juvenile","unknown","fe103e61-564f-42ee-8754-ed45bf447c63",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1427",NA,NA,NA,"34480942-9201-49b8-8252-dd3c7aeff843",1,"Juvenile","unknown","4cb022a6-148a-401e-97d0-f4d0435e037d",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1428",NA,NA,NA,"c44ad2b9-c30a-4a3f-9b1b-25c0966d60cf",1,"Adult","Male","614cf76c-53f6-46b2-a3cd-905535d9ce23",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1429",NA,NA,NA,"088d0a8a-aa9e-4fa5-8a0a-7a0847a7bae9",1,"Adult","Female","614cf76c-53f6-46b2-a3cd-905535d9ce23",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1430",NA,NA,NA,"33793c84-044f-4e6a-a1ae-35737a110d32",8,"Juvenile","unknown","614cf76c-53f6-46b2-a3cd-905535d9ce23",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1431",NA,NA,NA,"69086f99-ce50-46a8-a267-39418498bfc9",1,"Adult","Female","54673559-5265-4ba2-b5c7-8c6ca3e0fc68",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1432",NA,NA,NA,"fc32c346-116e-4d7d-81a3-91aa0d0d0645",6,"Juvenile","unknown","54673559-5265-4ba2-b5c7-8c6ca3e0fc68",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1433",NA,NA,NA,"7806962e-b12f-4975-b74c-48ba26b21f58",1,"Adult","Female","c6753cb6-1d1e-4044-a533-dbc9a8099c66",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1434",NA,NA,NA,"e3341a9d-a972-4bea-8252-e4459ecb4b56",10,"Juvenile","unknown","c6753cb6-1d1e-4044-a533-dbc9a8099c66",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1435",NA,NA,NA,"8b94a92f-f701-4158-ac8a-845d1336afb1",1,"Adult","Female","8e3689b1-8d79-4bc0-b8dd-52d28d52df7e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1436",NA,NA,NA,"468a1bfb-b779-4eea-80a2-d0f49e51e477",10,"Juvenile","unknown","8e3689b1-8d79-4bc0-b8dd-52d28d52df7e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1437",NA,NA,NA,"cda65fe7-9c8d-4a32-ad66-ab0a31ce95e0",2,"Adult","Male","7c7b1b67-0c90-4508-bbcc-6aa5f670890e",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1438",NA,NA,NA,"35c849f0-ca08-4ba4-8668-667104a2a7e3",1,"Adult","Female","752d36d6-16e5-4ed3-8567-0fcf2ce80b56",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1439",NA,NA,NA,"ab530a21-47b6-4bec-834f-ec6a280f89e5",7,"Juvenile","unknown","752d36d6-16e5-4ed3-8567-0fcf2ce80b56",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
