"","eventID","sex","lifeStage","individualCount","scientificName","kingdom","phylum","class","order","genus","specificEpithet","occurrenceID"
"409","f1c1076f-035f-4be7-8215-e05240ad4cc0","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","3bdef51b-ea92-4752-b8f8-3d03fead63d7"
"410","f1c1076f-035f-4be7-8215-e05240ad4cc0","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","21c47fee-b2c5-4e3c-a872-6b0478be8d1a"
"411","f1c1076f-035f-4be7-8215-e05240ad4cc0","Juvenile","unknown",8,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","e5b44cbb-0117-42b6-b89e-23dfb527b880"
"412","0c346f74-eeb4-481e-98b5-9cd7834b9b3f","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","14404800-7b9d-415c-ac59-e7d7189208fc"
"413","0c346f74-eeb4-481e-98b5-9cd7834b9b3f","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","2308c4e4-ab33-41ba-add2-7e0d073b4f2d"
"414","0c346f74-eeb4-481e-98b5-9cd7834b9b3f","Juvenile","unknown",6,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","53d6a307-7ed7-4b4d-b74b-f09640313d84"
"415","7bfb1e21-9d7f-494c-b6fb-23d865b7daa1","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","be5e51ab-3461-46c5-828c-a1583ab6e95e"
"416","7bfb1e21-9d7f-494c-b6fb-23d865b7daa1","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","570a0e8d-684b-4b14-93a5-2a3b7c4513d1"
"417","f877cf2c-b42a-4d7c-bb66-152c03f916fa","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","bd9f7239-538b-40fe-b2d8-5f25c646be2b"
"418","f877cf2c-b42a-4d7c-bb66-152c03f916fa","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","bd55c1c1-0fbe-44f1-83c8-4df2f5381083"
"419","5929fb9b-421e-4150-88f3-01b1037de879","Adult","unknown",6,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","132fd178-834c-4be6-a637-f6ce5dc18583"
"420","48115420-fba5-4151-acdb-5961a7b62be0","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ac338abc-d891-40b8-a08a-a1a5e4dffa49"
"421","171e0294-56f4-4c57-affd-5998879d2097","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","02e21a44-c025-4a0d-8099-29482a33417d"
"422","171e0294-56f4-4c57-affd-5998879d2097","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d18fad05-e1d0-4916-b9fa-8d2b52fc38dc"
"423","171e0294-56f4-4c57-affd-5998879d2097","Juvenile","unknown",4,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ded9c1bb-b666-450d-8e11-5cf8a849412e"
"424","d46b2bf0-9f5f-47c5-a020-5f6014c5e5cf","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ea905b37-8bcc-4652-978a-04ee4f7e9c47"
"425","0d54d298-c16b-4aef-b934-6bcf2a24ff7d","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d32469b6-b903-4379-8a62-b41448a15429"
"426","0d54d298-c16b-4aef-b934-6bcf2a24ff7d","Juvenile","unknown",7,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","6b313708-8733-4f93-8e11-72bce49c6677"
"427","076b3e4a-87d2-45bf-ae71-7fc72710698d","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","56e8ab44-ae2b-48e3-9783-30f5afa283cf"
"428","076b3e4a-87d2-45bf-ae71-7fc72710698d","Adult","unknown",3,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","779f51ab-c2f7-4ed5-bbb5-104daf451c3d"
"429","eaafc17f-c9ba-4acb-9190-d77c5ad99d6a","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","81b579d9-a432-4529-83cd-fa62db91e056"
"430","7b5f9edb-6cec-451e-804e-3253adac4f05","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","4f0e0b09-3c29-4fc6-b2ce-63955908d869"
"431","77c9010e-73fa-41b4-909d-875f5c24797f","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","726022f4-b3f7-47cc-8f1c-94fd48e480ab"
"432","7f7edf78-530c-4ac9-b022-d0062b89194a","Juvenile","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","26a4eb92-8381-4867-9e90-96384cbbd1be"
"433","9a5061de-66eb-4be1-a6b0-2811efdf3967","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d6c1676c-2728-49a0-952c-4f2e1ec1058e"
"434","9a5061de-66eb-4be1-a6b0-2811efdf3967","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d3064326-2e41-4c62-a256-f1c3221ec004"
"435","e54f364f-0c3d-4c36-bf14-710891b086bf","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","245f92bd-0973-4a3c-abf0-2310a74df89b"
"436","e54f364f-0c3d-4c36-bf14-710891b086bf","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","53208374-157c-4491-af1d-bd856454b8b1"
"437","e54f364f-0c3d-4c36-bf14-710891b086bf","Juvenile","unknown",3,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","760bd9c9-0329-48a3-9544-21725d838277"
"438","b6dbcb4d-37b7-460c-a848-f2e3e2bba251","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","09db4451-f585-4701-ba34-9f93825e3d44"
"439","b6dbcb4d-37b7-460c-a848-f2e3e2bba251","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","30ceabb6-0bef-455c-9219-b489b6c4f236"
"440","b6dbcb4d-37b7-460c-a848-f2e3e2bba251","Juvenile","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","214f7206-47ab-4c1d-a3e8-1a4d6327ed86"
"441","c6c1519d-4ed8-4a0f-9bc9-2708679ed612","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","7f804b19-c4fd-4e04-bca6-989c58b9387a"
"442","ac45e250-6685-4b7f-a641-01fe971531e2","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d94ab0aa-e77c-4239-a1fb-d29c41b3af25"
"443","ac45e250-6685-4b7f-a641-01fe971531e2","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","712b071e-69ff-4701-8a1d-f1c53d8a080e"
"444","ac45e250-6685-4b7f-a641-01fe971531e2","Juvenile","unknown",7,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","9f85c953-e992-4eac-bd5e-29860936b059"
"445","2403ed61-299f-4a6c-91af-65ba84f8e636","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","9128ff83-959e-48a2-8747-e05aa623a81e"
"446","e832979f-8309-4389-b9a0-c6e437a4b466","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","a45c82ca-8b45-4080-827e-898a5679c0c6"
"447","e832979f-8309-4389-b9a0-c6e437a4b466","Juvenile","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","499af96c-2767-4b59-9cf1-552c3729d42a"
"448","8c632f96-cf66-49a8-b53d-d5dd77ba489c","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","45f8652a-bcb0-4209-840d-2b2a701df07b"
"449","8c632f96-cf66-49a8-b53d-d5dd77ba489c","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","d732e355-cad6-4d0b-8f14-2674335abddb"
