id,type,modified,ownerInstitutionCode,dynamicProperties,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,eventRemarks,locationID,country,stateProvince,municipality,locality,verbatimLocality,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,footprintWKT,footprintSRS
2714A5E1-7CD2-436C-809E-5697A01CAC0A,Event,2019-08-06T16:15:31Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""97"" }",2714A5E1-7CD2-436C-809E-5697A01CAC0A,8079495C-66B2-4AD2-ADC7-AB44D926C589,Distance sampling based on line transects,NA,NA,2019-08-06,11:00:00,Human observation,0121C197-D871-428B-A93D-F2C157512B6B,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3515, and reporting level: TOV-Møsvatn",59.883,8.2747,100,NA,NA
9D61C2F0-1A8C-4DFA-B59D-56FB6B9B8180,Event,2018-08-11T16:42:35Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""96"" }",9D61C2F0-1A8C-4DFA-B59D-56FB6B9B8180,C0791F80-7A3E-48D3-909F-B83ED4B715A8,Distance sampling based on line transects,NA,NA,2018-08-11,09:47:00,Human observation,187251DF-4AF6-44A5-9A3F-6CDA28B59D9D,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3519, and reporting level: TOV-Åmotsdalen",62.4655,9.3864,100,NA,NA
0010EBB6-D9A4-4DDF-93F0-5763E7F7D1B6,Event,2020-08-10T11:07:09Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""3"" }",0010EBB6-D9A4-4DDF-93F0-5763E7F7D1B6,A697B2A5-7F2B-4975-BB4F-2472323DA75D,Distance sampling based on line transects,NA,NA,2020-08-10,11:03:00,Human observation,3C3B719C-F9B8-4283-B4C4-D958C0ADBC66,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3517, and reporting level: TOV-Møsvatn",59.8768,8.2588,100,NA,NA
E5F528BB-41FA-4F85-A392-5769765D7578,Event,2018-08-03T19:24:08Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""31"" }",E5F528BB-41FA-4F85-A392-5769765D7578,2A5B64BB-0AA2-4040-9FF8-1014CEB5ABC5,Distance sampling based on line transects,NA,NA,2018-08-03,20:15:00,Human observation,E195F427-50BC-4B06-B7C7-0753A1DA7CAE,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4025, and reporting level: Kongsvoll",62.3016,9.6358,100,NA,NA
5E78F878-D10E-4FE7-A084-57A8249A2248,Event,2020-08-10T11:07:09Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""123"" }",5E78F878-D10E-4FE7-A084-57A8249A2248,A697B2A5-7F2B-4975-BB4F-2472323DA75D,Distance sampling based on line transects,NA,NA,2020-08-10,11:50:00,Human observation,3C3B719C-F9B8-4283-B4C4-D958C0ADBC66,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3517, and reporting level: TOV-Møsvatn",59.8822,8.2608,100,NA,NA
844A6FCC-78B7-4A9E-96B4-58AF81105760,Event,2018-08-01T16:27:50Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""0"" }",844A6FCC-78B7-4A9E-96B4-58AF81105760,A05954AB-D005-42B0-AC10-E691A502EED7,Distance sampling based on line transects,NA,NA,2018-08-01,15:27:00,Human observation,0121C197-D871-428B-A93D-F2C157512B6B,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3515, and reporting level: TOV-Møsvatn",59.894,8.2762,100,NA,NA
B622F4AA-9803-4AE1-87E6-59A7330E9AFA,Event,2019-08-05T17:19:55Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""33"" }",B622F4AA-9803-4AE1-87E6-59A7330E9AFA,307FE10D-021E-4D0D-BA93-411A9B3154AE,Distance sampling based on line transects,NA,NA,2019-08-05,11:59:00,Human observation,3C3B719C-F9B8-4283-B4C4-D958C0ADBC66,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3517, and reporting level: TOV-Møsvatn",59.8808,8.258,100,NA,NA
8DB8B2EC-33B5-405B-929D-59C035BEE0A9,Event,2020-08-13T10:35:45Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""9"" }",8DB8B2EC-33B5-405B-929D-59C035BEE0A9,E97C1BF9-9E04-4AD6-B7FA-3F056ECE92E1,Distance sampling based on line transects,NA,NA,2020-08-13,12:11:00,Human observation,5D10A3D7-7BFD-46B0-A4CC-E63AF56C9C29,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3514, and reporting level: TOV-Møsvatn",59.898,8.2852,100,NA,NA
6335FC17-56D7-471A-8C91-5A89AA1D5AB2,Event,2020-08-13T10:35:45Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""169"" }",6335FC17-56D7-471A-8C91-5A89AA1D5AB2,E97C1BF9-9E04-4AD6-B7FA-3F056ECE92E1,Distance sampling based on line transects,NA,NA,2020-08-13,10:44:00,Human observation,5D10A3D7-7BFD-46B0-A4CC-E63AF56C9C29,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3514, and reporting level: TOV-Møsvatn",59.879,8.2824,100,NA,NA
582346A3-9A20-4806-8E35-5A975630717A,Event,2018-01-31T14:51:34Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""12"" }",582346A3-9A20-4806-8E35-5A975630717A,2E50290C-1193-4454-BD42-9EA967ED3526,Distance sampling based on line transects,NA,NA,2017-08-05,10:45:00,Human observation,B2AB7E28-2E4D-480B-86F0-1A7355A52C2F,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3513, and reporting level: TOV-Møsvatn",59.88,8.2946,100,NA,NA
FDF3CD90-B8FB-4E36-A338-5BB71EC3A53A,Event,2020-08-23T20:40:42Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""6"" }",FDF3CD90-B8FB-4E36-A338-5BB71EC3A53A,8E31C8D3-4A56-49A7-993B-6F6911C12BDA,Distance sampling based on line transects,NA,NA,2020-08-09,10:26:00,Human observation,4B5F0015-3536-4D00-B687-C9365FE3081A,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3505, and reporting level: TOV-Børgefjell",65.0593,13.8139,100,NA,NA
89764FC9-070F-4676-AC11-5D4F186B74AE,Event,2018-01-31T14:51:34Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""46"" }",89764FC9-070F-4676-AC11-5D4F186B74AE,FA0C454F-2251-411D-A2A9-E0871F8FCE77,Distance sampling based on line transects,NA,NA,2017-08-01,18:05:00,Human observation,58FA51FB-7664-4B04-9EC0-53E0C9BCA54D,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3516, and reporting level: TOV-Møsvatn",59.8624,8.2672,100,NA,NA
