id,modified,basisOfRecord,occurrenceID,individualCount,sex,lifeStage,eventID,taxonID,scientificName,kingdom,phylum,class,order,genus,specificEpithet
6425E290-E46C-476B-9E1D-CD40E6DAEB9E,2018-02-12T11:43:00Z,HumanObservation,5630C327-FB3D-4F83-B8B9-AA31DBF995BA,5,unknown,Juvenile,6425E290-E46C-476B-9E1D-CD40E6DAEB9E,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
761886BC-471C-4482-BBD1-D01D7691FCF8,2018-01-31T14:51:34Z,HumanObservation,F234CBF7-3212-4CE3-85FE-4DF02FC4C8B0,1,Male,Adult,761886BC-471C-4482-BBD1-D01D7691FCF8,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
761886BC-471C-4482-BBD1-D01D7691FCF8,2018-01-31T14:51:34Z,HumanObservation,A8B32B07-3E2C-4A92-AE3A-37BC3C5E953F,1,Female,Adult,761886BC-471C-4482-BBD1-D01D7691FCF8,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
761886BC-471C-4482-BBD1-D01D7691FCF8,2018-02-12T11:43:00Z,HumanObservation,D5105030-6594-416F-98A3-FE2BF3607DAF,8,unknown,Juvenile,761886BC-471C-4482-BBD1-D01D7691FCF8,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
0FCD4C6C-CEFA-40A4-99A0-D189D2B0F6C9,2019-08-08T12:37:21Z,HumanObservation,C91C2F12-0888-4BF3-B9C9-D77AE4A3585A,1,Female,Adult,0FCD4C6C-CEFA-40A4-99A0-D189D2B0F6C9,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
819B98CB-421D-48A1-BDAC-D1DE07A8E778,2018-01-31T14:51:34Z,HumanObservation,ED7B9A94-25E4-4819-9A07-C2C81628AD9F,1,Male,Adult,819B98CB-421D-48A1-BDAC-D1DE07A8E778,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
819B98CB-421D-48A1-BDAC-D1DE07A8E778,2018-01-31T14:51:34Z,HumanObservation,43E5DB39-D0D5-402A-9EB6-5629EF4ED057,1,Female,Adult,819B98CB-421D-48A1-BDAC-D1DE07A8E778,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
819B98CB-421D-48A1-BDAC-D1DE07A8E778,2018-02-12T11:43:00Z,HumanObservation,2480AD6D-859A-4353-A1CA-271ED0AFA270,7,unknown,Juvenile,819B98CB-421D-48A1-BDAC-D1DE07A8E778,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
99178DBD-079E-4836-8031-D6312AB06665,2018-01-31T14:51:34Z,HumanObservation,468A5705-A88A-4943-9902-D13BAF843195,1,Male,Adult,99178DBD-079E-4836-8031-D6312AB06665,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
99178DBD-079E-4836-8031-D6312AB06665,2018-01-31T14:51:34Z,HumanObservation,C581A695-6E97-477A-B311-79E66CDA889D,1,Female,Adult,99178DBD-079E-4836-8031-D6312AB06665,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
99178DBD-079E-4836-8031-D6312AB06665,2018-02-12T11:43:00Z,HumanObservation,A00ED905-AE4D-4B31-85DF-130F4C6C3952,10,unknown,Juvenile,99178DBD-079E-4836-8031-D6312AB06665,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
B0052208-61B5-4B53-A1C4-DDB325E26E11,2019-08-08T12:37:21Z,HumanObservation,967D00A2-F6B2-4A0D-B214-F48D5E1844ED,1,Male,Adult,B0052208-61B5-4B53-A1C4-DDB325E26E11,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
B0052208-61B5-4B53-A1C4-DDB325E26E11,2019-08-08T12:37:21Z,HumanObservation,D32D9987-E0A9-4B55-B210-90874302FA43,1,Female,Adult,B0052208-61B5-4B53-A1C4-DDB325E26E11,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
