Omrade,Omrnr,Linjenr,Linjenr_2,Aar,Dato,Dato_,Kl,Refnr,Adhann,Adhunn,Adubest,Kyll,Kyll_2,Ubest,Kyllald,Art,Kalktot,Linjeavst,Linjeavst_2,Flavst,RepTax,Stokk,Merknader
Møsvatn,5,1,1,2005,2005-08-03T22:00:00Z,4.8.,1899-12-30T13:50:00Z,10,1,1,0,0,0,0,NA,1,2,21,21,5,1,Stand,NA
Åmotsdalen,3,2,2,2005,2005-08-12T22:00:00Z,13.8.,1899-12-30T12:15:00Z,1,1,0,0,0,0,0,NA,1,1,60,60,15,1,Stand,NA
Åmotsdalen,3,2,2,2005,2005-08-12T22:00:00Z,13.8.,1899-12-30T15:15:00Z,2,1,0,0,0,0,0,NA,1,1,43,43,60,1,Linjefører,NA
Åmotsdalen,3,1,1,2005,2005-08-13T22:00:00Z,14.8.,1899-12-30T08:25:00Z,1,1,1,0,3,3,0,Små,1,5,51,51,5,1,Stand,NA
Åmotsdalen,3,1,1,2005,2005-08-13T22:00:00Z,14.8.,1899-12-30T09:30:00Z,2,0,0,1,0,0,0,NA,1,1,161,161,15,1,Støkk,NA
Åmotsdalen,3,1,1,2005,2005-08-13T22:00:00Z,14.8.,1899-12-30T09:40:00Z,3,0,1,0,4,4,0,Normal,1,5,119,119,2,1,Støkk,NA
Åmotsdalen,3,1,1,2005,2005-08-13T22:00:00Z,14.8.,1899-12-30T13:05:00Z,4,0,1,0,2,2,0,Små,1,3,9,9,0,1,Stand,NA
Åmotsdalen,3,3,3,2005,2005-08-14T22:00:00Z,15.8.,1899-12-30T10:00:00Z,1,1,1,0,5,5,0,Normal,1,7,7,7,10,1,Stand,NA
Åmotsdalen,3,3,3,2005,2005-08-14T22:00:00Z,15.8.,1899-12-30T10:15:00Z,2,1,1,0,5,5,0,Normal,1,7,48,48,5,1,Stand,NA
Åmotsdalen,3,3,3,2005,2005-08-14T22:00:00Z,15.8.,1899-12-30T11:15:00Z,3,1,1,0,2,2,0,Normal,1,4,12,12,5,1,Stand,NA
Børgefjell,2,3,3,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T14:30:00Z,1,0,0,1,0,0,0,NA,1,1,30,30,NA,1,Støkk,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T08:20:00Z,1,0,0,1,0,0,0,NA,1,1,89,89,20,1,Støkk,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T09:20:00Z,2,1,0,1,4,4,0,NA,1,6,13,13,5,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T09:45:00Z,3,1,0,0,0,0,0,NA,1,1,8,8,5,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T10:25:00Z,4,0,0,0,1,1,0,NA,1,1,0,0,1,1,Linjefører,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T10:45:00Z,5,0,0,2,5,5,0,NA,1,7,59,59,10,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T11:10:00Z,6,0,0,1,0,0,0,NA,1,1,91,91,15,1,Støkk,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T11:10:00Z,7,0,0,1,0,0,0,NA,1,1,76,76,5,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T11:15:00Z,8,0,0,2,7,7,0,NA,1,9,32,32,5,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T11:25:00Z,9,1,0,0,0,0,0,NA,1,1,117,117,15,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T11:30:00Z,10,1,0,0,0,0,0,NA,1,1,40,40,1,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T13:25:00Z,11,1,1,0,7,7,0,NA,1,9,115,115,5,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T13:30:00Z,12,1,0,0,0,0,0,NA,1,1,4,4,4,1,Linjefører,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T13:30:00Z,13,1,0,0,0,0,0,NA,1,1,13,13,10,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T14:10:00Z,14,1,1,0,3,3,0,Små,1,5,24,24,0,1,Stand,En død juv.
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T15:00:00Z,15,1,0,0,0,0,0,NA,1,1,15,15,10,1,Stand,NA
Åmotsdalen,3,4,4,2005,2005-08-17T22:00:00Z,18.8.,1899-12-30T15:10:00Z,16,0,0,1,0,0,0,NA,1,1,51,51,10,1,Stand,NA
Børgefjell,2,1,1,2005,2005-08-18T22:00:00Z,19.8.,1899-12-30T09:05:00Z,1,1,0,0,0,0,0,NA,1,1,40,40,NA,1,Stand,NA
Børgefjell,2,1,1,2005,2005-08-18T22:00:00Z,19.8.,1899-12-30T12:55:00Z,2,1,1,0,0,0,0,NA,1,2,10,10,NA,1,Stand,NA
Børgefjell,2,1,1,2005,2005-08-18T22:00:00Z,19.8.,1899-12-30T15:15:00Z,3,0,1,0,5,5,0,NA,1,6,30,30,NA,1,Stand,NA
Børgefjell,2,2,2,2005,2005-08-19T22:00:00Z,20.8.,1899-12-30T08:40:00Z,1,1,1,0,0,0,0,NA,1,2,20,20,NA,1,Stand,NA
Børgefjell,2,2,2,2005,2005-08-19T22:00:00Z,20.8.,1899-12-30T10:00:00Z,2,1,1,0,0,0,0,NA,1,2,30,30,NA,1,Støkk,NA
Børgefjell,2,2,2,2005,2005-08-19T22:00:00Z,20.8.,1899-12-30T11:30:00Z,3,0,0,0,2,2,0,NA,1,2,50,50,NA,1,Stand,NA
Møsvatn,5,3,3,2006,2006-07-31T22:00:00Z,1.8.,1899-12-30T13:35:00Z,1,1,1,0,6,6,0,Små,1,8,7,7,5,1,Stand,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T08:05:00Z,1,1,0,0,0,0,0,NA,1,1,40,40,10,1,støkk,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T08:20:00Z,2,0,1,0,0,0,0,NA,5,1,17,17,5,1,Stand,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T09:00:00Z,3,1,1,0,0,0,0,NA,1,2,28,28,5,1,Stand,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T13:10:00Z,4,1,0,0,6,6,0,Små,1,7,20,20,NA,1,Stand,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T14:00:00Z,5,1,1,0,3,3,0,Normal,1,5,11,11,NA,1,støkk,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T14:20:00Z,6,1,1,0,1,1,0,Normal,1,3,8,8,NA,1,Stand,NA
Møsvatn,5,2,2,2006,2006-08-01T22:00:00Z,2.8.,1899-12-30T15:45:00Z,7,1,1,0,6,6,0,Normal,1,8,0,0,2,1,Stand,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T08:45:00Z,1,1,1,0,1,1,0,Normal,1,3,75,75,5,1,Stand,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T09:25:00Z,2,1,0,0,0,0,0,NA,1,1,53,53,5,1,Stand,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T10:55:00Z,3,1,0,0,0,0,0,NA,1,1,30,30,3,1,Stand,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T11:15:00Z,4,1,1,0,4,4,0,Små,1,6,14,14,5,1,Stand,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T15:15:00Z,5,1,1,0,0,0,0,NA,1,2,6,6,3,1,støkk,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T16:00:00Z,6,0,1,0,0,0,0,NA,1,1,9,9,1,1,Stand,NA
Møsvatn,5,1,1,2006,2006-08-02T22:00:00Z,3.8.,1899-12-30T16:35:00Z,7,0,1,0,3,3,0,Normal,5,4,8,8,5,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T09:35:00Z,1,1,1,2,5,5,0,Normal,1,9,63,63,NA,1,støkk,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T09:45:00Z,2,0,0,1,0,0,0,NA,1,1,29,29,5,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T09:50:00Z,3,1,0,0,0,0,0,NA,1,1,20,20,5,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T10:00:00Z,4,1,0,0,0,0,0,NA,1,1,47,47,1,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T10:25:00Z,5,2,0,0,0,0,0,NA,1,2,45,45,5,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T10:35:00Z,6,2,0,0,0,0,0,NA,1,2,17,17,2,1,støkk,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T10:40:00Z,7,1,1,0,6,6,0,Normal,1,8,72,72,10,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T10:50:00Z,8,0,0,1,0,0,0,NA,1,1,65,65,NA,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T11:05:00Z,9,1,1,0,9,9,0,Normal,1,11,73,73,0,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T12:40:00Z,10,1,1,0,5,5,0,Normal,1,7,10,10,10,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T12:55:00Z,11,1,0,15,0,0,0,NA,1,16,0,0,NA,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T13:50:00Z,12,1,0,0,0,0,0,NA,1,1,7,7,5,1,Stand,NA
Åmotsdalen,3,4,4,2006,2006-08-08T22:00:00Z,9.8.,1899-12-30T14:20:00Z,13,1,0,0,0,0,0,NA,1,1,56,56,3,1,Stand,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T08:35:00Z,1,0,0,1,0,0,0,NA,1,1,41,41,NA,1,støkk,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T09:00:00Z,2,1,1,0,5,5,0,Små,1,7,22,22,10,1,støkk,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T09:25:00Z,3,1,1,0,9,9,0,Normal,1,11,62,62,5,1,Stand,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T11:45:00Z,4,1,0,0,1,1,0,Normal,1,2,29,29,NA,1,støkk,Mulig flere fugler.
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T12:20:00Z,5,1,1,0,3,3,0,Normal,1,5,4,4,2,1,støkk,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T16:15:00Z,6,1,1,0,4,4,0,Normal,1,6,111,111,4,1,Stand,Minimumstall for juv.
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T16:55:00Z,7,0,0,2,0,0,0,NA,1,2,49,49,NA,1,støkk,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T17:25:00Z,8,1,1,0,1,1,0,Normal,1,3,57,57,5,1,Stand,NA
Åmotsdalen,3,3,3,2006,2006-08-10T22:00:00Z,11.8.,1899-12-30T17:50:00Z,9,0,0,1,8,8,0,Normal,1,9,12,12,1,1,Stand,NA
Åmotsdalen,3,2,2,2006,2006-08-15T22:00:00Z,16.8.,1899-12-30T11:45:00Z,1,1,0,2,0,0,0,NA,1,3,37,37,NA,1,støkk,NA
Åmotsdalen,3,1,1,2006,2006-08-16T22:00:00Z,17.8.,1899-12-30T08:40:00Z,1,1,1,0,1,1,0,Normal,1,3,25,25,2,1,støkk,NA
Åmotsdalen,3,1,1,2006,2006-08-16T22:00:00Z,17.8.,1899-12-30T08:50:00Z,2,3,0,3,0,0,0,NA,1,6,12,12,10,1,Stand,NA
Åmotsdalen,3,1,1,2006,2006-08-16T22:00:00Z,17.8.,1899-12-30T09:10:00Z,3,2,0,1,0,0,0,NA,1,3,35,35,1,1,Stand,NA
Åmotsdalen,3,1,1,2006,2006-08-16T22:00:00Z,17.8.,1899-12-30T12:25:00Z,4,0,0,1,0,0,0,NA,1,1,55,55,5,1,Stand,NA
Åmotsdalen,3,1,1,2006,2006-08-16T22:00:00Z,17.8.,1899-12-30T13:25:00Z,5,0,0,3,0,0,0,NA,1,3,65,65,5,1,støkk,NA
Åmotsdalen,3,1,1,2006,2006-08-16T22:00:00Z,17.8.,1899-12-30T13:35:00Z,6,1,0,0,0,0,0,NA,1,1,44,44,NA,1,støkk,NA
Børgefjell,2,2,2,2006,2006-09-04T22:00:00Z,5.9.,1899-12-30T08:25:00Z,1,0,1,0,4,4,0,store,1,5,15,15,2,1,Stand,NA
Børgefjell,2,2,2,2006,2006-09-04T22:00:00Z,5.9.,1899-12-30T09:20:00Z,2,0,0,1,0,0,0,NA,1,1,50,50,2,1,Stand,NA
Børgefjell,2,2,2,2006,2006-09-04T22:00:00Z,5.9.,1899-12-30T09:30:00Z,3,0,0,1,0,0,0,NA,1,1,45,45,10,1,støkk,NA
Børgefjell,2,2,2,2006,2006-09-04T22:00:00Z,5.9.,1899-12-30T09:40:00Z,4,1,0,1,0,0,0,NA,1,2,15,15,3,1,Stand,NA
Børgefjell,2,2,2,2006,2006-09-04T22:00:00Z,5.9.,1899-12-30T09:50:00Z,5,1,0,1,0,0,0,NA,1,2,40,40,5,1,Stand,NA
Møsvatn,5,3,3,2007,2007-07-31T22:00:00Z,1.8.,1899-12-30T08:20:00Z,1,1,0,0,1,1,0,store,1,2,87,87,5,1,Stand,NA
Møsvatn,5,3,3,2007,2007-07-31T22:00:00Z,1.8.,1899-12-30T09:05:00Z,2,1,1,0,0,0,0,NA,1,2,66,66,2,1,Stand,NA
Møsvatn,5,3,3,2007,2007-07-31T22:00:00Z,1.8.,1899-12-30T09:40:00Z,3,1,1,0,2,2,0,normal,1,4,32,32,6,1,Stand,NA
Møsvatn,5,3,3,2007,2007-07-31T22:00:00Z,1.8.,1899-12-30T12:40:00Z,4,1,0,0,0,0,0,NA,1,1,25,25,3,1,Stand,NA
Møsvatn,5,3,3,2007,2007-07-31T22:00:00Z,1.8.,1899-12-30T13:20:00Z,5,1,1,0,0,0,0,NA,1,2,6,6,5,1,Stand,NA
Møsvatn,5,3,3,2007,2007-07-31T22:00:00Z,1.8.,1899-12-30T13:35:00Z,6,1,1,1,0,0,0,NA,1,3,38,38,5,1,støkk,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T12:55:00Z,1,1,0,0,0,0,0,NA,1,1,183,183,1,1,stand,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T13:20:00Z,2,0,0,1,0,0,0,NA,1,1,9,9,5,1,stand,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T13:25:00Z,3,1,0,0,0,0,0,NA,1,1,52,52,5,1,støkk,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T13:30:00Z,4,1,0,0,0,0,0,NA,1,1,74,74,10,1,stand,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T14:15:00Z,5,1,1,0,1,1,0,Små,1,3,0,0,15,1,Linjefører,pipkyllinger
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T15:20:00Z,6,1,0,0,0,0,0,NA,1,1,32,32,0,1,stand,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T15:30:00Z,7,1,0,1,0,0,0,NA,1,2,40,40,NA,1,støkk,NA
Møsvatn,5,2,2,2007,2007-08-01T22:00:00Z,2.8.,1899-12-30T15:50:00Z,8,1,1,0,4,4,0,Små,1,6,NA,200,2,1,stand,pipkyllinger
Møsvatn,5,1,1,2007,2007-08-02T22:00:00Z,3.8.,1899-12-30T07:55:00Z,1,1,0,1,0,0,0,NA,1,2,47,47,5,1,støkk,NA
Møsvatn,5,1,1,2007,2007-08-02T22:00:00Z,3.8.,1899-12-30T08:25:00Z,2,0,1,1,5,5,0,normal,1,7,12,12,10,1,stand,NA
Møsvatn,5,1,1,2007,2007-08-02T22:00:00Z,3.8.,1899-12-30T10:17:00Z,3,1,0,0,0,0,0,NA,1,1,0,0,6,1,Linjefører,NA
Møsvatn,5,1,1,2007,2007-08-02T22:00:00Z,3.8.,1899-12-30T13:35:00Z,4,0,1,0,0,0,0,NA,1,1,60,60,1,1,stand,NA
Møsvatn,5,1,1,2007,2007-08-02T22:00:00Z,3.8.,1899-12-30T14:15:00Z,5,1,1,0,0,0,0,NA,1,2,80,80,NA,1,stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T09:25:00Z,1,2,0,0,0,0,0,NA,1,2,6,6,3,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T09:50:00Z,2,1,0,0,0,0,0,NA,1,1,7,7,10,1,Linjefører,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T10:10:00Z,3,1,1,0,5,5,0,normal,1,7,31,31,NA,1,støkk,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T10:50:00Z,4,1,1,0,6,6,0,normal,1,8,0,0,NA,1,støkk,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T11:00:00Z,5,1,1,0,9,9,0,normal,1,11,89,89,0,1,Stand,En død juv.
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T11:10:00Z,6,1,0,0,2,2,0,små,1,3,31,31,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T11:30:00Z,7,1,0,0,0,0,0,NA,1,1,0,0,20,1,Linjefører,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T11:35:00Z,8,1,1,0,10,10,0,små,1,12,44,44,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T11:45:00Z,9,1,1,0,6,6,0,normal,1,8,49,49,9,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T11:55:00Z,10,1,1,0,7,7,0,normal,1,9,17,17,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T14:10:00Z,11,1,1,1,3,3,0,normal,1,6,46,46,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T15:00:00Z,12,1,1,0,11,11,0,normal,1,13,16,16,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T15:05:00Z,13,1,0,0,0,0,0,NA,1,1,18,18,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T15:15:00Z,14,1,0,1,5,5,0,store,1,7,25,25,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T15:40:00Z,15,1,1,0,6,6,0,normal,1,8,64,64,5,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T16:45:00Z,16,0,1,0,6,6,0,store,5,7,44,44,5,1,Stand,En død juv.
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T17:05:00Z,17,2,0,0,0,0,0,NA,5,2,45,45,10,1,Stand,NA
Åmotsdalen,3,4,4,2007,2007-08-08T22:00:00Z,9.8.,1899-12-30T18:00:00Z,18,0,1,1,11,11,0,store,1,13,31,31,10,1,Stand,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T09:00:00Z,1,0,1,1,15,15,0,normal,1,17,19,19,10,1,Stand,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T09:15:00Z,2,0,0,1,9,9,0,normal,1,10,0,0,NA,1,Stand,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T09:55:00Z,3,0,0,1,4,4,0,normal,1,5,183,183,NA,1,Stand,Minimumsantall
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T10:45:00Z,4,1,1,0,9,9,0,små,1,11,0,0,5,1,støkk,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T10:50:00Z,5,0,0,2,12,12,0,små,1,14,15,15,5,1,Stand,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T11:00:00Z,6,0,1,0,9,9,0,normal,1,10,53,53,5,1,Stand,Sprett til over linja.
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T11:20:00Z,7,0,0,1,0,0,0,NA,1,1,110,110,NA,1,støkk,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T12:45:00Z,8,0,0,0,4,4,0,små,1,4,59,59,4,1,Stand,En død juv.
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T13:10:00Z,9,0,0,0,10,10,0,normal,1,10,16,16,NA,1,støkk,NA
Åmotsdalen,3,3,3,2007,2007-08-10T22:00:00Z,11.8.,1899-12-30T16:10:00Z,10,1,1,0,6,6,0,normal,1,8,90,90,20,1,Stand,NA
Åmotsdalen,3,2,2,2007,2007-08-17T22:00:00Z,18.8.,1899-12-30T09:45:00Z,1,1,1,0,1,1,0,store,1,3,14,14,10,1,Stand,NA
Åmotsdalen,3,2,2,2007,2007-08-17T22:00:00Z,18.8.,1899-12-30T13:05:00Z,2,0,0,1,4,4,0,små,1,5,29,29,5,1,Stand,NA
Åmotsdalen,3,2,2,2007,2007-08-17T22:00:00Z,18.8.,1899-12-30T14:05:00Z,3,1,1,0,6,6,0,normal,1,8,206,206,8,1,Stand,Svært nært linje på andre side av Ryggen.
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T09:35:00Z,1,0,0,15,0,0,0,NA,1,15,0,0,10,1,Stand,NA
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T09:45:00Z,2,1,0,1,5,5,0,små,1,7,259,259,NA,1,Stand,NA
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T10:00:00Z,3,1,0,0,1,1,0,store,1,2,72,72,NA,1,Stand,NA
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T10:15:00Z,4,1,1,0,2,2,3,normal,1,7,NA,100,NA,1,Stand,NA
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T10:45:00Z,5,1,1,0,10,10,0,normal,1,12,0,0,5,1,Stand,NA
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T14:05:00Z,6,1,1,0,0,0,0,NA,1,2,50,50,NA,1,Stand,Kyllinger ja. Meget tett.
Åmotsdalen,3,1,1,2007,2007-08-18T22:00:00Z,19.8.,1899-12-30T14:30:00Z,7,1,0,0,0,0,0,NA,1,1,52,52,5,1,Stand,NA
Børgefjell,2,1,1,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T07:25:00Z,1,1,0,2,0,0,0,NA,1,3,45,45,5,1,Stand,NA
Børgefjell,2,1,1,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T08:20:00Z,2,1,1,0,5,5,0,Store,1,7,30,30,NA,1,støkk,NA
Børgefjell,2,1,1,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T08:55:00Z,3,1,1,0,8,8,0,NA,1,10,0,0,10,1,Linjefører,NA
Børgefjell,2,2,2,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T07:05:00Z,1,1,1,0,0,0,0,NA,1,2,30,30,15,1,Linjefører,Hund koblet p.g.a. mye rein mellom kl 12.30 og 12.40
Børgefjell,2,2,2,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T07:35:00Z,2,1,1,0,2,2,0,NA,1,4,15,15,NA,1,Stand,NA
Børgefjell,2,2,2,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T07:50:00Z,3,1,0,0,0,0,0,NA,1,1,5,5,2,1,Stand,NA
Børgefjell,2,3,3,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T09:25:00Z,1,0,1,0,4,4,0,NA,1,5,40,40,10,1,Stand,NA
Børgefjell,2,3,3,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T09:35:00Z,2,1,0,0,0,0,0,NA,1,1,0,0,10,1,Stand,NA
Børgefjell,2,3,3,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T12:15:00Z,3,0,1,0,6,6,0,NA,1,7,10,10,15,1,Stand,NA
Børgefjell,2,3,3,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T12:25:00Z,4,0,1,0,5,5,0,små,1,6,200,200,5,1,Stand,Pipkyllinger
Børgefjell,2,3,3,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T12:40:00Z,5,0,1,0,7,7,0,NA,1,8,30,30,10,1,Stand,NA
Børgefjell,2,3,3,2007,2007-08-22T22:00:00Z,23.8.,1899-12-30T12:45:00Z,6,0,1,0,8,8,0,NA,1,9,75,75,15,1,Stand,NA
Møsvatn,5,3,3,2008,2019-07-31T22:00:00Z,1.8.,1899-12-30T12:30:00Z,1,0,1,0,0,0,0,NA,1,1,19,19,5,1,Stand,NA
Møsvatn,5,3,3,2008,2019-07-31T22:00:00Z,1.8.,1899-12-30T13:00:00Z,2,1,0,0,0,0,0,NA,1,1,151,151,5,1,Stand,NA
Møsvatn,5,3,3,2008,2019-07-31T22:00:00Z,1.8.,1899-12-30T13:20:00Z,3,0,0,0,1,1,0,normal,1,1,1,1,2,1,støkk linjefører,NA
Møsvatn,5,3,3,2008,2019-07-31T22:00:00Z,1.8.,1899-12-30T13:35:00Z,4,1,0,0,0,0,0,NA,1,1,36,36,10,1,Støkk av hund,NA
